Total Qty,Reg Qty,Foil Qty,Card,Set,Mana Cost,Card Type,Color,Rarity,Mvid,Single Price,Single Foil Price,Total Price,Price Source,Notes
1,1,0,Karma,Unlimited Edition,2WW,Enchantment,White,Uncommon,855,4.46,0.00,4.46,0x108013a00,
1,1,0,Mana Vault,Revised Edition,1,Artifact,Artifact,Rare,1124,94.55,0.00,94.55,0x108013a00,
1,1,0,Animate Dead,Revised Edition,1B,Enchantment  - Aura,Black,Uncommon,1143,4.95,0.00,4.95,0x108013a00,
4,4,0,Dark Ritual,Revised Edition,B,Instant,Black,Common,1149,1.21,0.00,4.84,0x108013a00,
1,1,0,Demonic Tutor,Revised Edition,1B,Sorcery,Black,Uncommon,1155,49.07,0.00,49.07,0x108013a00,
4,4,0,Hypnotic Specter,Revised Edition,1BB,Creature  - Specter,Black,Uncommon,1165,3.58,0.00,14.32,0x108013a00,
4,4,0,Counterspell,Revised Edition,UU,Instant,Blue,Uncommon,1196,6.31,0.00,25.24,0x108013a00,
4,4,0,Sleight of Mind,Revised Edition,U,Instant,Blue,Rare,1223,1.33,0.00,5.32,0x108013a00,
4,4,0,Birds of Paradise,Revised Edition,G,Creature  - Bird,Green,Rare,1236,37.97,0.00,151.88,0x108013a00,
4,4,0,Wild Growth,Revised Edition,G,Enchantment  - Aura,Green,Common,1279,0.38,0.00,1.52,0x108013a00,
4,4,0,Kird Ape,Revised Edition,R,Creature  - Ape,Red,Common,1302,0.23,0.00,0.92,0x108013a00,
4,4,0,Disenchant,Revised Edition,1W,Instant,White,Common,1343,0.34,0.00,1.36,0x108013a00,
3,3,0,Karma,Revised Edition,2WW,Enchantment,White,Uncommon,1352,0.25,0.00,0.75,0x108013a00,
4,4,0,Swords to Plowshares,Revised Edition,W,Instant,White,Uncommon,1367,6.04,0.00,24.16,0x108013a00,
4,4,0,White Knight,Revised Edition,WW,Creature  - Human Knight,White,Uncommon,1370,1.21,0.00,4.84,0x108013a00,
4,4,0,Scrubland,Revised Edition,,Land  - Plains Swamp,Land,Rare,1380,282.89,0.00,1131.56,0x108013a00,
4,4,0,Taiga,Revised Edition,,Land  - Mountain Forest,Land,Rare,1381,373.10,0.00,1492.40,0x108013a00,
1,1,0,Tundra,Revised Edition,,Land  - Plains Island,Land,Rare,1383,514.81,0.00,514.81,0x108013a00,
4,4,0,High Tide,Fallen Empires,U,Instant,Blue,Common,1874,2.62,0.00,10.48,0x108013a00,
4,4,0,Ashen Ghoul,Ice Age,3B,Creature  - Zombie,Black,Uncommon,2438,0.25,0.00,1.00,0x108013a00,
4,4,0,Counterspell,Ice Age,UU,Instant,Blue,Common,2500,2.07,0.00,8.28,0x108013a00,
4,4,0,Tinder Wall,Ice Age,G,Creature  - Plant Wall,Green,Common,2594,0.29,0.00,1.16,0x108013a00,
4,4,0,Order of the Sacred Torch,Ice Age,1WW,Creature  - Human Knight,White,Rare,2705,0.94,0.00,3.76,0x108013a00,
